,experiment,component,rules,clauses_per_rule,total_clauses,test_case_number,delay_ms
500,test_40_2,test_runner,40,2,80,17,69.0
501,test_10_8,test_runner,10,8,80,18,65.0
502,test_20_4,test_runner,20,4,80,18,67.0
503,test_40_2,test_runner,40,2,80,18,73.0
504,test_10_8,test_runner,10,8,80,19,56.0
505,test_20_4,test_runner,20,4,80,19,59.0
506,test_40_2,test_runner,40,2,80,19,58.0
507,test_10_8,test_runner,10,8,80,20,62.0
508,test_20_4,test_runner,20,4,80,20,52.0
509,test_40_2,test_runner,40,2,80,20,55.0
510,test_10_8,test_runner,10,8,80,21,60.0
511,test_20_4,test_runner,20,4,80,21,52.0
512,test_40_2,test_runner,40,2,80,21,54.0
513,test_10_8,test_runner,10,8,80,22,63.0
514,test_20_4,test_runner,20,4,80,22,55.0
515,test_40_2,test_runner,40,2,80,22,57.0
516,test_10_8,test_runner,10,8,80,23,61.0
517,test_20_4,test_runner,20,4,80,23,59.0
518,test_40_2,test_runner,40,2,80,23,56.0
519,test_10_8,test_runner,10,8,80,24,61.0
520,test_20_4,test_runner,20,4,80,24,57.0
521,test_40_2,test_runner,40,2,80,24,56.0
522,test_10_8,test_runner,10,8,80,25,61.0
523,test_20_4,test_runner,20,4,80,25,349.0
524,test_40_2,test_runner,40,2,80,25,61.0
525,test_10_8,test_runner,10,8,80,26,60.0
526,test_20_4,test_runner,20,4,80,26,55.0
527,test_40_2,test_runner,40,2,80,26,57.0
528,test_10_8,test_runner,10,8,80,27,58.0
529,test_20_4,test_runner,20,4,80,27,60.0
530,test_40_2,test_runner,40,2,80,27,56.0
531,test_10_8,test_runner,10,8,80,28,63.0
532,test_20_4,test_runner,20,4,80,28,60.0
533,test_40_2,test_runner,40,2,80,28,60.0
534,test_10_8,test_runner,10,8,80,29,60.0
535,test_20_4,test_runner,20,4,80,29,59.0
536,test_40_2,test_runner,40,2,80,29,58.0
537,test_10_8,test_runner,10,8,80,30,58.0
538,test_20_4,test_runner,20,4,80,30,53.0
539,test_40_2,test_runner,40,2,80,30,54.0
540,test_10_8,test_runner,10,8,80,31,61.0
541,test_20_4,test_runner,20,4,80,31,56.0
542,test_40_2,test_runner,40,2,80,31,59.0
543,test_10_8,test_runner,10,8,80,32,63.0
544,test_20_4,test_runner,20,4,80,32,56.0
545,test_40_2,test_runner,40,2,80,32,57.0
546,test_10_8,test_runner,10,8,80,33,65.0
547,test_20_4,test_runner,20,4,80,33,55.0
548,test_40_2,test_runner,40,2,80,33,54.0
549,test_10_8,test_runner,10,8,80,34,59.0
